env-id,time-cost,action-cost,final-reward-penalty,fully-obs,wandb,total-timesteps,num-envs,num-steps,ent-coef,gae_lambda
MiniGrid-Empty-6x6-v0,0,0,false,false,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-v0,0,0,true,false,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-v0,0.00625,0,false,false,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-Random-v0,0,0,false,false,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-Random-v0,0,0,true,false,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-Random-v0,0.00625,0,false,false,true,5000000,32,144,0.01,0.5
MiniGrid-DoorKey-6x6-v0,0,0,false,false,true,5000000,64,640,0.01,0.5
MiniGrid-DoorKey-6x6-v0,0,0,true,false,true,5000000,64,640,0.01,0.5
MiniGrid-DoorKey-6x6-v0,0.00140625,0,false,false,true,5000000,64,640,0.01,0.5
MiniGrid-Empty-6x6-v0,0,0,false,false,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-v0,0,0,true,false,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-v0,0.00625,0,false,false,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-Random-v0,0,0,false,false,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-Random-v0,0,0,true,false,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-Random-v0,0.00625,0,false,false,true,5000000,32,144,0.01,0
MiniGrid-DoorKey-6x6-v0,0,0,false,false,true,5000000,64,640,0.01,0
MiniGrid-DoorKey-6x6-v0,0,0,true,false,true,5000000,64,640,0.01,0
MiniGrid-DoorKey-6x6-v0,0.00140625,0,false,false,true,5000000,64,640,0.01,0
MiniGrid-Empty-6x6-v0,0,0,false,true,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-v0,0,0,true,true,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-v0,0.00625,0,false,true,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-Random-v0,0,0,false,true,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-Random-v0,0,0,true,true,true,5000000,32,144,0.01,0.5
MiniGrid-Empty-6x6-Random-v0,0.00625,0,false,true,true,5000000,32,144,0.01,0.5
MiniGrid-DoorKey-6x6-v0,0,0,false,true,true,5000000,64,640,0.01,0.5
MiniGrid-DoorKey-6x6-v0,0,0,true,true,true,5000000,64,640,0.01,0.5
MiniGrid-DoorKey-6x6-v0,0.00140625,0,false,true,true,5000000,64,640,0.01,0.5
MiniGrid-Empty-6x6-v0,0,0,false,true,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-v0,0,0,true,true,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-v0,0.00625,0,false,true,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-Random-v0,0,0,false,true,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-Random-v0,0,0,true,true,true,5000000,32,144,0.01,0
MiniGrid-Empty-6x6-Random-v0,0.00625,0,false,true,true,5000000,32,144,0.01,0
MiniGrid-DoorKey-6x6-v0,0,0,false,true,true,5000000,64,640,0.01,0
MiniGrid-DoorKey-6x6-v0,0,0,true,true,true,5000000,64,640,0.01,0
MiniGrid-DoorKey-6x6-v0,0.00140625,0,false,true,true,5000000,64,640,0.01,0
