env-id,action-cost,fully-obs,wandb,seed,total-timesteps,num-envs,num-steps,ent-coef
SimpleBoxes,false,false,true,1,10000000,16,128,0.01
SimpleBoxes,false,false,true,2,10000000,16,128,0.01
SimpleBoxes,false,false,true,3,10000000,16,128,0.01
SimpleBoxes,false,false,true,4,10000000,16,128,0.01
SimpleBoxes,false,false,true,5,10000000,16,128,0.01
SimpleBoxes,false,false,true,6,10000000,16,128,0.01
SimpleBoxes,false,false,true,7,10000000,16,128,0.01
SimpleBoxes,false,false,true,8,10000000,16,128,0.01
SimpleBoxes,false,false,true,9,10000000,16,128,0.01
SimpleBoxes,false,false,true,10,10000000,16,128,0.01
SimpleBoxes,false,false,true,11,10000000,16,128,0.01
SimpleBoxes,false,false,true,12,10000000,16,128,0.01
SimpleBoxes,false,false,true,13,10000000,16,128,0.01
SimpleBoxes,false,false,true,14,10000000,16,128,0.01
SimpleBoxes,false,false,true,15,10000000,16,128,0.01
SimpleBoxes,false,false,true,16,10000000,16,128,0.01
MazeBoxes,false,false,true,1,10000000,16,256,0.01
MazeBoxes,false,false,true,2,10000000,16,256,0.01
MazeBoxes,false,false,true,3,10000000,16,256,0.01
MazeBoxes,false,false,true,4,10000000,16,256,0.01
MazeBoxes,false,false,true,5,10000000,16,256,0.01
MazeBoxes,false,false,true,6,10000000,16,256,0.01
MazeBoxes,false,false,true,7,10000000,16,256,0.01
MazeBoxes,false,false,true,8,10000000,16,256,0.01
MazeBoxes,false,false,true,9,10000000,16,256,0.01
MazeBoxes,false,false,true,10,10000000,16,256,0.01
MazeBoxes,false,false,true,11,10000000,16,256,0.01
MazeBoxes,false,false,true,12,10000000,16,256,0.01
MazeBoxes,false,false,true,13,10000000,16,256,0.01
MazeBoxes,false,false,true,14,10000000,16,256,0.01
MazeBoxes,false,false,true,15,10000000,16,256,0.01
MazeBoxes,false,false,true,16,10000000,16,256,0.01
